r,g,b,a
0.0,0.0,0.0,1.0
0.0627451,0.0627451,0.0627451,1.0
0.14117648,0.14117648,0.14117648,1.0
0.20784314,0.20784314,0.20784314,1.0
0.28627452,0.28627452,0.28627452,1.0
0.34901962,0.34901962,0.34901962,1.0
0.42745098,0.42745098,0.42745098,1.0
0.49019608,0.49019608,0.49019608,1.0
0.57254905,0.57254905,0.57254905,1.0
0.63529414,0.63529414,0.63529414,1.0
0.7137255,0.7137255,0.7137255,1.0
0.7764706,0.7764706,0.7764706,1.0
0.85882354,0.85882354,0.85882354,1.0
0.92156863,0.92156863,0.92156863,1.0
1.0,1.0,1.0,1.0
0.0,0.7137255,1.0,1.0
0.0,0.6509804,0.9529412,1.0
0.0,0.5882353,0.90588236,1.0
0.0,0.5411765,0.85882354,1.0
0.0,0.4745098,0.80784315,1.0
0.0,0.4117647,0.7607843,1.0
0.0,0.3647059,0.7137255,1.0
0.0,0.3019608,0.6666667,1.0
0.0,0.23921569,0.61960787,1.0
0.0,0.19215687,0.57254905,1.0
0.0,0.1254902,0.5254902,1.0
0.0,0.0627451,0.4745098,1.0
0.0,0.23921569,0.6039216,1.0
0.0,0.3647059,0.4745098,1.0
0.0,0.4745098,0.3647059,1.0
0.0,0.6039216,0.23921569,1.0
0.0,0.7294118,0.10980392,1.0
0.0,0.84313726,0.0,1.0
0.0,1.0,0.0,1.0
0.14117648,1.0,0.0,1.0
0.28627452,1.0,0.0,1.0
0.42745098,1.0,0.0,1.0
0.57254905,1.0,0.0,1.0
0.7137255,1.0,0.0,1.0
0.85882354,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,0.90588236,0.0,1.0
1.0,0.80784315,0.0,1.0
1.0,0.7137255,0.0,1.0
1.0,0.63529414,0.0,1.0
1.0,0.5411765,0.0,1.0
1.0,0.44313726,0.0,1.0
1.0,0.34901962,0.0,1.0
1.0,0.27058825,0.0,1.0
1.0,0.1764706,0.0,1.0
1.0,0.078431375,0.0,1.0
1.0,0.039215688,0.0,1.0
1.0,0.0,0.0,1.0
0.9411765,0.9411765,0.9411765,1.0
0.9843137,0.9843137,0.9843137,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
